Title,Year,Duration,IMDB Rating,Genre,Actors,Nominations,Wins,Popularity
The Hateful Eight,2015,168 min,7.8,"Crime, Drama, Mystery","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh",116,Won 1 Oscar. 46,"683,103"
Once Upon a Time in Hollywood,2016,N/A,N/A,Drama,N/A,0,0,N/A
Parasite,2019,132 min,8.5,"Drama, Thriller","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",266,Won 4 Oscars. 316,"1,019,758"
The Irishman,2019,209 min,7.8,"Biography, Crime, Drama","Robert De Niro, Al Pacino, Joe Pesci",358,Nominated for 10 Oscars. 73,"446,147"
1917,2019,119 min,8.2,"Action, Drama, War","Dean-Charles Chapman, George MacKay, Daniel Mays",207,Won 3 Oscars. 135,"707,790"
Jojo Rabbit,2019,108 min,7.9,"Comedy, Drama, War","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson",192,Won 1 Oscar. 52,"458,155"
Joker,2019,122 min,8.3,"Crime, Drama, Thriller","Joaquin Phoenix, Robert De Niro, Zazie Beetz",247,Won 2 Oscars. 121,"1,577,608"
Frozen,2013,102 min,7.4,"Animation, Adventure, Comedy","Kristen Bell, Idina Menzel, Jonathan Groff",60,Won 2 Oscars. 83,"681,542"
The Shape of Water,2017,123 min,7.3,"Drama, Fantasy, Romance","Sally Hawkins, Octavia Spencer, Michael Shannon",350,Won 4 Oscars. 138,"455,357"
"Three Billboards Outside Ebbing, Missouri",2017,115 min,8.1,"Comedy, Crime, Drama","Frances McDormand, Woody Harrelson, Sam Rockwell",233,Won 2 Oscars. 132,"574,280"
Lady Bird,2017,94 min,7.4,"Comedy, Drama","Saoirse Ronan, Laurie Metcalf, Tracy Letts",228,Nominated for 5 Oscars. 124,"346,594"
The King's Speech,2010,118 min,8.0,"Biography, Drama, History","Colin Firth, Geoffrey Rush, Helena Bonham Carter",206,Won 4 Oscars. 109,"717,579"
The Social Network,2010,120 min,7.8,"Biography, Drama","Jesse Eisenberg, Andrew Garfield, Justin Timberlake",188,Won 3 Oscars. 174,"779,958"
The Pursuit of Happyness,2006,117 min,8.0,"Biography, Drama","Will Smith, Thandiwe Newton, Jaden Smith",26,Nominated for 1 Oscar. 12,"582,792"
A Beautiful Mind,2001,135 min,8.2,"Biography, Drama, Mystery","Russell Crowe, Ed Harris, Jennifer Connelly",69,Won 4 Oscars. 37,"1,012,949"
Shutter Island,2010,138 min,8.2,"Drama, Mystery, Thriller","Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo",66,11,"1,521,492"
Inglourious Basterds,2009,153 min,8.4,"Adventure, Drama, War","Brad Pitt, Diane Kruger, Eli Roth",173,Won 1 Oscar. 134,"1,652,588"
Catch Me If You Can,2002,141 min,8.1,"Biography, Crime, Drama","Leonardo DiCaprio, Tom Hanks, Christopher Walken",46,Nominated for 2 Oscars. 16,"1,136,612"
The Curious Case of Benjamin Button,2008,166 min,7.8,"Drama, Fantasy, Romance","Brad Pitt, Cate Blanchett, Tilda Swinton",160,Won 3 Oscars. 85,"711,613"
Black Swan,2010,108 min,8.0,"Drama, Thriller","Natalie Portman, Mila Kunis, Vincent Cassel",279,Won 1 Oscar. 98,"847,805"
Slumdog Millionaire,2008,120 min,8.0,"Crime, Drama, Romance","Dev Patel, Freida Pinto, Saurabh Shukla",133,Won 8 Oscars. 153,"890,142"
The Green Mile,1999,189 min,8.6,"Crime, Drama, Fantasy","Tom Hanks, Michael Clarke Duncan, David Morse",37,Nominated for 4 Oscars. 15,"1,455,603"
The Notebook,2004,123 min,7.8,"Drama, Romance","Gena Rowlands, James Garner, Rachel McAdams",10,12,"646,065"
A Star Is Born,2018,136 min,7.6,"Drama, Music, Romance","Lady Gaga, Bradley Cooper, Sam Elliott",290,Won 1 Oscar. 99,"430,265"
The Help,2011,146 min,8.1,Drama,"Viola Davis, Emma Stone, Octavia Spencer",121,Won 1 Oscar. 79,"505,832"
Gravity,2013,91 min,7.7,"Drama, Sci-Fi, Thriller","Sandra Bullock, George Clooney, Ed Harris",187,Won 7 Oscars. 240,"877,210"
The Martian,2015,144 min,8.0,"Adventure, Drama, Sci-Fi","Matt Damon, Jessica Chastain, Kristen Wiig",199,Nominated for 7 Oscars. 40,"956,193"
